timestep,time,V1,V2
0,2020-01-01T00:00:00,1.0,0.85
1,2020-01-01T00:15:00,1.0,None
2,2020-01-01T00:30:00,1.0,None
3,2020-01-01T00:45:00,1.0,None
4,2020-01-01T01:00:00,1.0,None
5,2020-01-01T01:15:00,1.0,None
6,2020-01-01T01:30:00,1.0,None
7,2020-01-01T01:45:00,1.0,None
8,2020-01-01T02:00:00,1.0,None
9,2020-01-01T02:15:00,1.0,None
10,2020-01-01T02:30:00,1.0,None
11,2020-01-01T02:45:00,1.0,None
12,2020-01-01T03:00:00,1.0,None
13,2020-01-01T03:15:00,1.0,None
14,2020-01-01T03:30:00,1.0,None
15,2020-01-01T03:45:00,1.0,None
16,2020-01-01T04:00:00,1.0,None
17,2020-01-01T04:15:00,1.0,None
18,2020-01-01T04:30:00,1.0,None
19,2020-01-01T04:45:00,1.0,None
20,2020-01-01T05:00:00,1.0,None
21,2020-01-01T05:15:00,1.0,None
22,2020-01-01T05:30:00,1.0,None
23,2020-01-01T05:45:00,1.0,None
24,2020-01-01T06:00:00,1.0,None
25,2020-01-01T06:15:00,1.0,None
26,2020-01-01T06:30:00,1.0,None
27,2020-01-01T06:45:00,1.0,None
28,2020-01-01T07:00:00,1.0,None
29,2020-01-01T07:15:00,1.0,None
30,2020-01-01T07:30:00,1.0,None
31,2020-01-01T07:45:00,1.0,None
32,2020-01-01T08:00:00,1.0,None
33,2020-01-01T08:15:00,0.9966666666666667,None
34,2020-01-01T08:30:00,0.9933333333333333,None
35,2020-01-01T08:45:00,0.99,None
36,2020-01-01T09:00:00,0.9866666666666667,None
37,2020-01-01T09:15:00,0.9833333333333333,None
38,2020-01-01T09:30:00,0.98,None
39,2020-01-01T09:45:00,0.9766666666666667,None
40,2020-01-01T10:00:00,0.9733333333333334,None
41,2020-01-01T10:15:00,0.97,None
42,2020-01-01T10:30:00,0.9666666666666667,None
43,2020-01-01T10:45:00,0.9633333333333334,None
44,2020-01-01T11:00:00,0.96,None
45,2020-01-01T11:15:00,0.9566666666666667,None
46,2020-01-01T11:30:00,0.9533333333333334,None
47,2020-01-01T11:45:00,0.95,None
48,2020-01-01T12:00:00,0.9466666666666667,None
49,2020-01-01T12:15:00,0.9433333333333334,None
50,2020-01-01T12:30:00,0.94,None
51,2020-01-01T12:45:00,0.9366666666666666,None
52,2020-01-01T13:00:00,0.9333333333333333,None
53,2020-01-01T13:15:00,0.93,None
54,2020-01-01T13:30:00,0.9266666666666666,None
55,2020-01-01T13:45:00,0.9233333333333333,None
56,2020-01-01T14:00:00,0.92,None
57,2020-01-01T14:15:00,0.9166666666666666,None
58,2020-01-01T14:30:00,0.9133333333333333,None
59,2020-01-01T14:45:00,0.91,None
60,2020-01-01T15:00:00,0.9066666666666667,None
61,2020-01-01T15:15:00,0.9033333333333333,None
62,2020-01-01T15:30:00,0.9,None
63,2020-01-01T15:45:00,0.8966666666666667,None
64,2020-01-01T16:00:00,0.8933333333333333,None
65,2020-01-01T16:15:00,0.89,None
66,2020-01-01T16:30:00,0.8866666666666667,None
67,2020-01-01T16:45:00,0.8833333333333333,None
68,2020-01-01T17:00:00,0.88,None
69,2020-01-01T17:15:00,0.8934364263449864,None
70,2020-01-01T17:30:00,0.9,None
71,2020-01-01T17:45:00,0.9,None
72,2020-01-01T18:00:00,0.9,None
73,2020-01-01T18:15:00,0.9,None
74,2020-01-01T18:30:00,0.9,None
75,2020-01-01T18:45:00,0.9,None
76,2020-01-01T19:00:00,0.9,None
77,2020-01-01T19:15:00,0.9,None
78,2020-01-01T19:30:00,0.9,None
79,2020-01-01T19:45:00,0.9,None
80,2020-01-01T20:00:00,0.9,None
81,2020-01-01T20:15:00,0.9,None
82,2020-01-01T20:30:00,0.9,None
83,2020-01-01T20:45:00,0.9,None
84,2020-01-01T21:00:00,0.9,None
85,2020-01-01T21:15:00,0.9,None
86,2020-01-01T21:30:00,0.9,None
87,2020-01-01T21:45:00,0.9,None
88,2020-01-01T22:00:00,0.9,None
89,2020-01-01T22:15:00,0.9,None
90,2020-01-01T22:30:00,0.9,None
91,2020-01-01T22:45:00,0.9,None
92,2020-01-01T23:00:00,0.9,None
93,2020-01-01T23:15:00,0.9,None
94,2020-01-01T23:30:00,0.9,None
95,2020-01-01T23:45:00,0.9,None
96,2020-01-02T00:00:00,0.9,None
