timestamp, schedule [kW], charge, residual load old [kW], curtailment old [kW], residual load new [kW], curtailment new [kW], V1, V2
2020-01-01T00:00:00+02:00, 0, 1, -68.152, 0.0, -68.152, 0.0, 0, 0
2020-01-01T00:15:00+02:00, 0, 1, -72.662, 0.0, -72.662, 0.0, 0, 0
2020-01-01T00:30:00+02:00, 0, 1, -86.726, 2.987, -86.726, 2.987, 0, 0
2020-01-01T00:45:00+02:00, 0, 1, -108.079, 11.201, -108.079, 11.201, 0, 0
2020-01-01T01:00:00+02:00, 0, 1, -108.126, 34.56, -108.126, 34.56, 0, 0
2020-01-01T01:15:00+02:00, 0, 1, -121.88, 64.664, -121.88, 64.664, 0, 0
2020-01-01T01:30:00+02:00, 0, 1, -127.141, 59.451, -127.141, 59.451, 0, 0
2020-01-01T01:45:00+02:00, 0, 1, -133.52, 67.918, -133.52, 67.918, 0, 0
2020-01-01T02:00:00+02:00, 0, 1, -115.352, 89.25, -115.352, 89.25, 0, 0
2020-01-01T02:15:00+02:00, 0, 1, -111.206, 85.612, -111.206, 85.612, 0, 0
2020-01-01T02:30:00+02:00, 0, 1, -103.715, 85.025, -103.715, 85.025, 0, 0
2020-01-01T02:45:00+02:00, 0, 1, -102.072, 68.64, -102.072, 68.64, 0, 0
2020-01-01T03:00:00+02:00, 0, 1, -102.805, 65.423, -102.805, 65.423, 0, 0
2020-01-01T03:15:00+02:00, 0, 1, -106.185, 65.423, -106.185, 65.423, 0, 0
2020-01-01T03:30:00+02:00, 0, 1, -110.435, 65.423, -110.435, 65.423, 0, 0
2020-01-01T03:45:00+02:00, 0, 1, -111.392, 65.423, -111.392, 65.423, 0, 0
2020-01-01T04:00:00+02:00, 0, 1, -120.279, 65.423, -120.279, 65.423, 0, 0
2020-01-01T04:15:00+02:00, 0, 1, -123.46, 67.733, -123.46, 67.733, 0, 0
2020-01-01T04:30:00+02:00, 0, 1, -117.45, 87.283, -117.45, 87.283, 0, 0
2020-01-01T04:45:00+02:00, 0, 1, -107.812, 89.384, -107.812, 89.384, 0, 0
2020-01-01T05:00:00+02:00, 0, 1, -97.097, 89.384, -97.097, 89.384, 0, 0
2020-01-01T05:15:00+02:00, 0, 1, -96.059, 84.25, -96.059, 84.25, 0, 0
2020-01-01T05:30:00+02:00, 0, 1, -111.757, 76.453, -111.757, 76.453, 0, 0
2020-01-01T05:45:00+02:00, 0, 1, -106.391, 83.1, -106.391, 83.1, 0, 0
2020-01-01T06:00:00+02:00, 0, 1, -116.432, 86.424, -116.432, 86.424, 0, 0
2020-01-01T06:15:00+02:00, 0, 1, -117.991, 91.571, -117.991, 91.571, 0, 0
2020-01-01T06:30:00+02:00, 0, 1, -125.423, 96.503, -125.423, 96.503, 0, 0
2020-01-01T06:45:00+02:00, 0, 1, -129.667, 99.632, -129.667, 99.632, 0, 0
2020-01-01T07:00:00+02:00, 0, 1, -133.976, 101.61, -133.976, 101.61, 0, 0
2020-01-01T07:15:00+02:00, 0, 1, -135.323, 101.61, -135.323, 101.61, 0, 0
2020-01-01T07:30:00+02:00, 0, 1, -132.889, 101.61, -132.889, 101.61, 0, 0
2020-01-01T07:45:00+02:00, 0, 1, -134.638, 101.61, -134.638, 101.61, 0, 0
2020-01-01T08:00:00+02:00, 0, 1, -136.003, 101.61, -136.003, 101.61, 0, 0
2020-01-01T08:15:00+02:00, 0, 1, -136.708, 101.61, -136.708, 101.61, 0, 0
2020-01-01T08:30:00+02:00, 0, 1, -140.522, 101.61, -140.522, 101.61, 0, 0
2020-01-01T08:45:00+02:00, 0, 1, -142.239, 101.61, -142.239, 101.61, 0, 0
2020-01-01T09:00:00+02:00, 0, 1, -137.117, 105.273, -137.117, 105.273, 0, 0
2020-01-01T09:15:00+02:00, 0, 1, -136.954, 106.143, -136.954, 106.143, 0, 0
2020-01-01T09:30:00+02:00, 0, 1, -139.508, 106.143, -139.508, 106.143, 0, 0
2020-01-01T09:45:00+02:00, 0, 1, -141.448, 106.143, -141.448, 106.143, 0, 0
2020-01-01T10:00:00+02:00, 0, 1, -129.277, 115.428, -129.277, 115.428, 0, 0
2020-01-01T10:15:00+02:00, 0, 1, -129.878, 121.619, -129.878, 121.619, 0, 0
2020-01-01T10:30:00+02:00, 0, 1, -123.216, 121.619, -123.216, 121.619, 0, 0
2020-01-01T10:45:00+02:00, 0, 1, -126.234, 121.619, -126.234, 121.619, 0, 0
2020-01-01T11:00:00+02:00, 0, 1, -123.256, 121.581, -123.256, 121.581, 0, 0
2020-01-01T11:15:00+02:00, 0, 1, -119.967, 121.505, -119.967, 121.505, 0, 0
2020-01-01T11:30:00+02:00, 0, 1, -117.921, 121.505, -117.921, 121.505, 0, 0
2020-01-01T11:45:00+02:00, 0, 1, -113.256, 120.192, -113.256, 120.192, 0, 0
2020-01-01T12:00:00+02:00, 0, 1, -127.628, 107.008, -127.628, 107.008, 0, 0
2020-01-01T12:15:00+02:00, 0, 1, -143.181, 110.743, -143.181, 110.743, 0, 0
2020-01-01T12:30:00+02:00, 0, 1, -135.197, 112.432, -135.197, 112.432, 0, 0
2020-01-01T12:45:00+02:00, 0, 1, -127.75, 112.432, -127.75, 112.432, 0, 0
2020-01-01T13:00:00+02:00, 0, 1, -129.058, 112.432, -129.058, 112.432, 0, 0
2020-01-01T13:15:00+02:00, 0, 1, -128.808, 117.437, -128.808, 117.437, 0, 0
2020-01-01T13:30:00+02:00, 0, 1, -131.13, 94.261, -131.13, 94.261, 0, 0
2020-01-01T13:45:00+02:00, 0, 1, -143.726, 83.107, -143.726, 83.107, 0, 0
2020-01-01T14:00:00+02:00, 0, 1, -138.068, 85.529, -138.068, 85.529, 0, 0
2020-01-01T14:15:00+02:00, 0, 1, -147.778, 88.344, -147.778, 88.344, 0, 0
2020-01-01T14:30:00+02:00, 0, 1, -134.279, 105.5, -134.279, 105.5, 0, 0
2020-01-01T14:45:00+02:00, 0, 1, -120.358, 109.877, -120.358, 109.877, 0, 0
2020-01-01T15:00:00+02:00, 0, 1, -97.08, 105.365, -97.08, 105.365, 0, 0
2020-01-01T15:15:00+02:00, 0, 1, -107.625, 46.616, -107.625, 46.616, 0, 0
