,timestamp,event_start,event_time,location,use_case,soc_start,soc_end,energy,station_charging_capacity,average_charging_power
0,2021-09-17 00:00:00,0,19,shopping,public,0.5582,0.5582,0.0,0.0,0.0
1,2021-09-17 04:45:00,19,2,driving,,0.5582,0.4817,-2.295,0.0,0.0
2,2021-09-17 05:15:00,21,11,work,public,0.4817,0.4817,0.0,0.0,0.0
3,2021-09-17 08:00:00,32,1,driving,,0.4817,0.4784,-0.099,0.0,0.0
4,2021-09-17 08:15:00,33,7,shopping,public,0.4784,0.4784,0.0,0.0,0.0
5,2021-09-17 10:00:00,40,2,driving,,0.4784,0.4495,-0.867,0.0,0.0
6,2021-09-17 10:30:00,42,8,private,public,0.4495,0.4495,0.0,0.0,0.0
7,2021-09-17 12:30:00,50,4,driving,,0.4495,0.3212,-3.849,0.0,0.0
8,2021-09-17 13:30:00,54,64,home,public,0.3212,0.3212,0.0,0.0,0.0
9,2021-09-18 05:30:00,118,1,driving,,0.3212,0.2575,-1.911,0.0,0.0
10,2021-09-18 05:45:00,119,3,leisure,public,0.2575,0.2575,0.0,0.0,0.0
11,2021-09-18 06:30:00,122,4,driving,,0.2575,0.0,-7.725,0.0,0.0
12,2021-09-18 07:30:00,126,36,work,public,0.0,0.0,0.0,0.0,0.0
13,2021-09-18 16:30:00,162,1,driving,,0.0,0.0,0.0,0.0,0.0
14,2021-09-18 16:45:00,163,67,home,public,0.0,1.0,30.0,11.0,7.2197
15,2021-09-19 09:30:00,230,1,driving,,1.0,0.9996,-0.012,0.0,0.0
16,2021-09-19 09:45:00,231,100,leisure,public,0.9996,0.9996,0.0,0.0,0.0
17,2021-09-20 10:45:00,331,7,driving,,0.9996,0.9399,-1.791,0.0,0.0
18,2021-09-20 12:30:00,338,8,shopping,public,0.9399,0.9399,0.0,0.0,0.0
19,2021-09-20 14:30:00,346,2,driving,,0.9399,0.8986,-1.239,0.0,0.0
20,2021-09-20 15:00:00,348,7,home,public,0.8986,0.8986,0.0,0.0,0.0
21,2021-09-20 16:45:00,355,1,driving,,0.8986,0.8925,-0.183,0.0,0.0
22,2021-09-20 17:00:00,356,4,leisure,public,0.8925,0.8925,0.0,0.0,0.0
23,2021-09-20 18:00:00,360,1,driving,,0.8925,0.8717,-0.624,0.0,0.0
24,2021-09-20 18:15:00,361,75,home,public,0.8717,0.8717,0.0,0.0,0.0
25,2021-09-21 13:00:00,436,1,driving,,0.8717,0.8247,-1.41,0.0,0.0
26,2021-09-21 13:15:00,437,3,business,public,0.8247,0.8247,0.0,0.0,0.0
27,2021-09-21 14:00:00,440,2,driving,,0.8247,0.7877,-1.11,0.0,0.0
28,2021-09-21 14:30:00,442,3,private,public,0.7877,0.7877,0.0,0.0,0.0
29,2021-09-21 15:15:00,445,1,driving,,0.7877,0.7666,-0.633,0.0,0.0
30,2021-09-21 15:30:00,446,2,shopping,public,0.7666,0.7666,0.0,0.0,0.0
31,2021-09-21 16:00:00,448,1,driving,,0.7666,0.7662,-0.012,0.0,0.0
32,2021-09-21 16:15:00,449,8,leisure,public,0.7662,1.0,7.014,22.0,4.2059
33,2021-09-21 18:15:00,457,1,driving,,1.0,0.9741,-0.777,0.0,0.0
34,2021-09-21 18:30:00,458,48,home,public,0.9741,0.9741,0.0,0.0,0.0
35,2021-09-22 06:30:00,506,2,driving,,0.9741,0.7507,-6.702,0.0,0.0
36,2021-09-22 07:00:00,508,25,work,public,0.7507,1.0,7.479,11.0,4.3679
37,2021-09-22 13:15:00,533,9,driving,,1.0,0.8461,-4.617,0.0,0.0
38,2021-09-22 15:30:00,542,62,home,public,0.8461,0.8461,0.0,0.0,0.0
39,2021-09-23 07:00:00,604,2,driving,,0.8461,0.6985,-4.428,0.0,0.0
40,2021-09-23 07:30:00,606,38,work,public,0.6985,1.0,9.045,22.0,4.6547
41,2021-09-23 17:00:00,644,5,driving,,1.0,0.8205,-5.385,0.0,0.0
42,2021-09-23 18:15:00,649,69,home,public,0.8205,0.8205,0.0,0.0,0.0
43,2021-09-24 11:30:00,718,7,driving,,0.8205,0.5037,-9.504,0.0,0.0
44,2021-09-24 13:15:00,725,7,leisure,public,0.5037,0.5037,0.0,0.0,0.0
45,2021-09-24 15:00:00,732,1,driving,,0.5037,0.4911,-0.378,0.0,0.0
46,2021-09-24 15:15:00,733,3,private,public,0.4911,0.4911,0.0,0.0,0.0
47,2021-09-24 16:00:00,736,1,driving,,0.4911,0.4805,-0.318,0.0,0.0
48,2021-09-24 16:15:00,737,11,home,public,0.4805,0.4805,0.0,0.0,0.0
49,2021-09-24 19:00:00,748,4,driving,,0.4805,0.342,-4.155,0.0,0.0
50,2021-09-24 20:00:00,752,24,leisure,public,0.342,0.342,0.0,0.0,0.0
51,2021-09-25 02:00:00,776,2,driving,,0.342,0.2035,-4.155,0.0,0.0
52,2021-09-25 02:30:00,778,25,home,public,0.2035,0.2035,0.0,0.0,0.0
53,2021-09-25 08:45:00,803,6,driving,,0.2035,0.0,-6.105,0.0,0.0
54,2021-09-25 10:15:00,809,23,work,public,0.0,1.0,30.0,22.0,7.2197
55,2021-09-25 16:00:00,832,1,driving,,1.0,0.9587,-1.239,0.0,0.0
56,2021-09-25 16:15:00,833,9,home,public,0.9587,0.9587,0.0,0.0,0.0
57,2021-09-25 18:30:00,842,1,driving,,0.9587,0.942,-0.501,0.0,0.0
58,2021-09-25 18:45:00,843,19,private,public,0.942,0.942,0.0,0.0,0.0
59,2021-09-25 23:30:00,862,3,driving,,0.942,0.829,-3.39,0.0,0.0
60,2021-09-26 00:15:00,865,71,home,public,0.829,0.829,0.0,0.0,0.0
61,2021-09-26 18:00:00,936,1,driving,,0.829,0.7961,-0.987,0.0,0.0
62,2021-09-26 18:15:00,937,12,private,public,0.7961,0.7961,0.0,0.0,0.0
63,2021-09-26 21:15:00,949,4,driving,,0.7961,0.7599,-1.086,0.0,0.0
64,2021-09-26 22:15:00,953,56,home,public,0.7599,0.7599,0.0,0.0,0.0
65,2021-09-27 12:15:00,1009,1,driving,,0.7599,0.7513,-0.258,0.0,0.0
66,2021-09-27 12:30:00,1010,18,private,public,0.7513,1.0,7.461,22.0,4.3616
67,2021-09-27 17:00:00,1028,2,driving,,1.0,0.9741,-0.777,0.0,0.0
68,2021-09-27 17:30:00,1030,48,home,public,0.9741,0.9741,0.0,0.0,0.0
69,2021-09-28 05:30:00,1078,3,driving,,0.9741,0.8786,-2.865,0.0,0.0
70,2021-09-28 06:15:00,1081,39,work,public,0.8786,0.8786,0.0,0.0,0.0
71,2021-09-28 16:00:00,1120,4,driving,,0.8786,0.781,-2.928,0.0,0.0
72,2021-09-28 17:00:00,1124,88,home,public,0.781,1.0,6.57,22.0,4.0533
73,2021-09-29 15:00:00,1212,2,driving,,1.0,0.959,-1.23,0.0,0.0
74,2021-09-29 15:30:00,1214,7,private,public,0.959,0.959,0.0,0.0,0.0
75,2021-09-29 17:15:00,1221,1,driving,,0.959,0.9126,-1.392,0.0,0.0
76,2021-09-29 17:30:00,1222,51,home,public,0.9126,0.9126,0.0,0.0,0.0
77,2021-09-30 06:15:00,1273,4,driving,,0.9126,0.7271,-5.565,0.0,0.0
78,2021-09-30 07:15:00,1277,30,work,public,0.7271,1.0,8.187,22.0,4.3805
79,2021-09-30 14:45:00,1307,1,driving,,1.0,0.9485,-1.545,0.0,0.0
80,2021-09-30 15:00:00,1308,36,home,public,0.9485,0.9485,0.0,0.0,0.0
