,timestamp,event_start,event_time,location,use_case,soc_start,soc_end,energy,station_charging_capacity,average_charging_power
0,2021-09-17 00:00:00,0,63,home,home,0.8874,0.8874,0.0,0.0,0.0
1,2021-09-17 15:45:00,63,1,driving,,0.8874,0.8873,-0.006,0.0,0.0
2,2021-09-17 16:00:00,64,92,private,public,0.8873,0.8873,0.0,0.0,0.0
3,2021-09-18 15:00:00,156,1,driving,,0.8873,0.8804,-0.414,0.0,0.0
4,2021-09-18 15:15:00,157,57,leisure,public,0.8804,0.8804,0.0,0.0,0.0
5,2021-09-19 05:30:00,214,2,driving,,0.8804,0.86,-1.224,0.0,0.0
6,2021-09-19 06:00:00,216,44,work,work,0.86,0.86,0.0,0.0,0.0
7,2021-09-19 17:00:00,260,4,driving,,0.86,0.7809,-4.746,0.0,0.0
8,2021-09-19 18:00:00,264,22,leisure,public,0.7809,0.7809,0.0,0.0,0.0
9,2021-09-19 23:30:00,286,6,driving,,0.7809,0.7076,-4.398,0.0,0.0
10,2021-09-20 01:00:00,292,47,home,home,0.7076,1.0,17.544,11.0,4.1425
11,2021-09-20 12:45:00,339,2,driving,,1.0,0.9701,-1.794,0.0,0.0
12,2021-09-20 13:15:00,341,10,private,public,0.9701,0.9701,0.0,0.0,0.0
13,2021-09-20 15:45:00,351,8,driving,,0.9701,0.9413,-1.728,0.0,0.0
14,2021-09-20 17:45:00,359,45,home,home,0.9413,0.9413,0.0,0.0,0.0
15,2021-09-21 05:00:00,404,2,driving,,0.9413,0.9225,-1.128,0.0,0.0
16,2021-09-21 05:30:00,406,40,work,work,0.9225,0.9225,0.0,0.0,0.0
17,2021-09-21 15:30:00,446,1,driving,,0.9225,0.919,-0.21,0.0,0.0
18,2021-09-21 15:45:00,447,15,leisure,public,0.919,0.919,0.0,0.0,0.0
19,2021-09-21 19:30:00,462,23,driving,,0.919,0.774,-8.7,0.0,0.0
20,2021-09-22 01:15:00,485,116,home,home,0.774,1.0,13.56,11.0,3.8411
21,2021-09-23 06:15:00,601,1,driving,,1.0,0.9827,-1.038,0.0,0.0
22,2021-09-23 06:30:00,602,14,work,work,0.9827,0.9827,0.0,0.0,0.0
23,2021-09-23 10:00:00,616,2,driving,,0.9827,0.9672,-0.93,0.0,0.0
24,2021-09-23 10:30:00,618,94,leisure,public,0.9672,0.9672,0.0,0.0,0.0
25,2021-09-24 10:00:00,712,2,driving,,0.9672,0.9456,-1.296,0.0,0.0
26,2021-09-24 10:30:00,714,6,private,public,0.9456,0.9456,0.0,0.0,0.0
27,2021-09-24 12:00:00,720,1,driving,,0.9456,0.9439,-0.102,0.0,0.0
28,2021-09-24 12:15:00,721,7,home,home,0.9439,0.9439,0.0,0.0,0.0
29,2021-09-24 14:00:00,728,3,driving,,0.9439,0.937,-0.414,0.0,0.0
30,2021-09-24 14:45:00,731,5,leisure,public,0.937,0.937,0.0,0.0,0.0
31,2021-09-24 16:00:00,736,1,driving,,0.937,0.9298,-0.432,0.0,0.0
32,2021-09-24 16:15:00,737,3,private,public,0.9298,0.9298,0.0,0.0,0.0
33,2021-09-24 17:00:00,740,2,driving,,0.9298,0.9026,-1.632,0.0,0.0
34,2021-09-24 17:30:00,742,91,home,home,0.9026,0.9026,0.0,0.0,0.0
35,2021-09-25 16:15:00,833,1,driving,,0.9026,0.9025,-0.006,0.0,0.0
36,2021-09-25 16:30:00,834,52,leisure,public,0.9025,0.9025,0.0,0.0,0.0
37,2021-09-26 05:30:00,886,3,driving,,0.9025,0.8496,-3.174,0.0,0.0
38,2021-09-26 06:15:00,889,3,work,work,0.8496,0.8496,0.0,0.0,0.0
39,2021-09-26 07:00:00,892,5,driving,,0.8496,0.7413,-6.498,0.0,0.0
40,2021-09-26 08:15:00,897,20,leisure,public,0.7413,0.7413,0.0,0.0,0.0
41,2021-09-26 13:15:00,917,2,driving,,0.7413,0.6966,-2.682,0.0,0.0
42,2021-09-26 13:45:00,919,67,home,home,0.6966,1.0,18.204,11.0,4.673
43,2021-09-27 06:30:00,986,1,driving,,1.0,0.9998,-0.012,0.0,0.0
44,2021-09-27 06:45:00,987,8,work,work,0.9998,0.9998,0.0,0.0,0.0
45,2021-09-27 08:45:00,995,1,driving,,0.9998,0.9774,-1.344,0.0,0.0
46,2021-09-27 09:00:00,996,87,home,home,0.9774,0.9774,0.0,0.0,0.0
47,2021-09-28 06:45:00,1083,2,driving,,0.9774,0.9741,-0.198,0.0,0.0
48,2021-09-28 07:15:00,1085,39,work,work,0.9741,0.9741,0.0,0.0,0.0
49,2021-09-28 17:00:00,1124,1,driving,,0.9741,0.9501,-1.44,0.0,0.0
50,2021-09-28 17:15:00,1125,68,home,home,0.9501,0.9501,0.0,0.0,0.0
51,2021-09-29 10:15:00,1193,3,driving,,0.9501,0.9226,-1.65,0.0,0.0
52,2021-09-29 11:00:00,1196,7,private,public,0.9226,0.9226,0.0,0.0,0.0
53,2021-09-29 12:45:00,1203,1,driving,,0.9226,0.9018,-1.248,0.0,0.0
54,2021-09-29 13:00:00,1204,69,home,home,0.9018,0.9018,0.0,0.0,0.0
55,2021-09-30 06:15:00,1273,2,driving,,0.9018,0.8683,-2.01,0.0,0.0
56,2021-09-30 06:45:00,1275,6,private,public,0.8683,0.8683,0.0,0.0,0.0
57,2021-09-30 08:15:00,1281,1,driving,,0.8683,0.8624,-0.354,0.0,0.0
58,2021-09-30 08:30:00,1282,6,shopping,public,0.8624,0.8624,0.0,0.0,0.0
59,2021-09-30 10:00:00,1288,1,driving,,0.8624,0.8349,-1.65,0.0,0.0
60,2021-09-30 10:15:00,1289,20,private,public,0.8349,0.8349,0.0,0.0,0.0
61,2021-09-30 15:15:00,1309,1,driving,,0.8349,0.8284,-0.39,0.0,0.0
62,2021-09-30 15:30:00,1310,34,home,home,0.8284,0.8284,0.0,0.0,0.0
