,timestamp,event_start,event_time,location,use_case,soc_start,soc_end,energy,station_charging_capacity,average_charging_power
0,2021-09-17 00:00:00,0,26,work,work,0.9255,0.9255,0.0,0.0,0.0
1,2021-09-17 06:30:00,26,6,driving,,0.9255,0.8798,-5.027,0.0,0.0
2,2021-09-17 08:00:00,32,90,home,home,0.8798,0.8798,0.0,0.0,0.0
3,2021-09-18 06:30:00,122,1,driving,,0.8798,0.8745,-0.583,0.0,0.0
4,2021-09-18 06:45:00,123,27,work,work,0.8745,0.8745,0.0,0.0,0.0
5,2021-09-18 13:30:00,150,10,driving,,0.8745,0.8143,-6.622,0.0,0.0
6,2021-09-18 16:00:00,160,81,shopping,public,0.8143,0.8143,0.0,0.0,0.0
7,2021-09-19 12:15:00,241,1,driving,,0.8143,0.8129,-0.154,0.0,0.0
8,2021-09-19 12:30:00,242,91,home,home,0.8129,0.8129,0.0,0.0,0.0
9,2021-09-20 11:15:00,333,3,driving,,0.8129,0.8001,-1.408,0.0,0.0
10,2021-09-20 12:00:00,336,4,private,public,0.8001,0.8001,0.0,0.0,0.0
11,2021-09-20 13:00:00,340,1,driving,,0.8001,0.793,-0.781,0.0,0.0
12,2021-09-20 13:15:00,341,81,leisure,public,0.793,1.0,22.77,3.7,3.7
13,2021-09-21 09:30:00,422,8,driving,,1.0,0.953,-5.17,0.0,0.0
14,2021-09-21 11:30:00,430,81,home,home,0.953,0.953,0.0,0.0,0.0
15,2021-09-22 07:45:00,511,1,driving,,0.953,0.9471,-0.649,0.0,0.0
16,2021-09-22 08:00:00,512,1,private,public,0.9471,0.9471,0.0,0.0,0.0
17,2021-09-22 08:15:00,513,1,driving,,0.9471,0.9314,-1.727,0.0,0.0
18,2021-09-22 08:30:00,514,4,home,home,0.9314,0.9314,0.0,0.0,0.0
19,2021-09-22 09:30:00,518,2,driving,,0.9314,0.9131,-2.013,0.0,0.0
20,2021-09-22 10:00:00,520,6,leisure,public,0.9131,0.9131,0.0,0.0,0.0
21,2021-09-22 11:30:00,526,1,driving,,0.9131,0.9098,-0.363,0.0,0.0
22,2021-09-22 11:45:00,527,19,shopping,public,0.9098,0.9098,0.0,0.0,0.0
23,2021-09-22 16:30:00,546,2,driving,,0.9098,0.8811,-3.157,0.0,0.0
24,2021-09-22 17:00:00,548,8,home,home,0.8811,0.8811,0.0,0.0,0.0
25,2021-09-22 19:00:00,556,4,driving,,0.8811,0.8529,-3.102,0.0,0.0
26,2021-09-22 20:00:00,560,91,leisure,public,0.8529,0.8529,0.0,0.0,0.0
27,2021-09-23 18:45:00,651,6,driving,,0.8529,0.7082,-15.917,0.0,0.0
28,2021-09-23 20:15:00,657,79,home,home,0.7082,0.7082,0.0,0.0,0.0
29,2021-09-24 16:00:00,736,4,driving,,0.7082,0.673,-3.872,0.0,0.0
30,2021-09-24 17:00:00,740,4,private,public,0.673,0.673,0.0,0.0,0.0
