timestep,time,golf_0,sprinter_0
0,2018-01-01 00:00:00,0.8,0.8
1,2018-01-01 00:15:00,0.8,0.8
2,2018-01-01 00:30:00,0.8,0.8
3,2018-01-01 00:45:00,0.8,0.8
4,2018-01-01 01:00:00,0.8,0.8
5,2018-01-01 01:15:00,0.8,0.8
6,2018-01-01 01:30:00,0.8,0.8
7,2018-01-01 01:45:00,0.8,0.8
8,2018-01-01 02:00:00,0.8,0.8
9,2018-01-01 02:15:00,0.8,0.8
10,2018-01-01 02:30:00,0.8,0.8
11,2018-01-01 02:45:00,0.8,0.8
12,2018-01-01 03:00:00,0.8,0.8
13,2018-01-01 03:15:00,0.8,0.8
14,2018-01-01 03:30:00,0.8,0.8
15,2018-01-01 03:45:00,0.8,0.8
16,2018-01-01 04:00:00,0.8,0.8
17,2018-01-01 04:15:00,0.8,0.8
18,2018-01-01 04:30:00,0.8,0.8
19,2018-01-01 04:45:00,0.8,0.8
20,2018-01-01 05:00:00,0.8,0.8
21,2018-01-01 05:15:00,0.8,0.8
22,2018-01-01 05:30:00,0.8,0.8
23,2018-01-01 05:45:00,0.8,0.8
24,2018-01-01 06:00:00,0.8,0.8
25,2018-01-01 06:15:00,0.8,0.8
26,2018-01-01 06:30:00,0.8,0.8
27,2018-01-01 06:45:00,0.8,0.8
28,2018-01-01 07:00:00,0.8,0.8
29,2018-01-01 07:15:00,0.8,0.8
30,2018-01-01 07:30:00,0.8,0.8
31,2018-01-01 07:45:00,0.8,0.8
32,2018-01-01 08:00:00,0,0.8
33,2018-01-01 08:15:00,0,0.8
34,2018-01-01 08:30:00,0,0.8
35,2018-01-01 08:45:00,0,0.8
36,2018-01-01 09:00:00,0,0
37,2018-01-01 09:15:00,0,0
38,2018-01-01 09:30:00,0,0
39,2018-01-01 09:45:00,0,0
40,2018-01-01 10:00:00,0,0
41,2018-01-01 10:15:00,0,0
42,2018-01-01 10:30:00,0,0
43,2018-01-01 10:45:00,0,0
44,2018-01-01 11:00:00,0,0
45,2018-01-01 11:15:00,0,0
46,2018-01-01 11:30:00,0,0
47,2018-01-01 11:45:00,0,0
48,2018-01-01 12:00:00,0,0
49,2018-01-01 12:15:00,0,0
50,2018-01-01 12:30:00,0,0
51,2018-01-01 12:45:00,0,0
52,2018-01-01 13:00:00,0,0
53,2018-01-01 13:15:00,0,0
54,2018-01-01 13:30:00,0,0
55,2018-01-01 13:45:00,0,0
56,2018-01-01 14:00:00,0,0
57,2018-01-01 14:15:00,0,0
58,2018-01-01 14:30:00,0,0
59,2018-01-01 14:45:00,0,0
60,2018-01-01 15:00:00,0.751689620672695,0
61,2018-01-01 15:15:00,0.8,0
62,2018-01-01 15:30:00,0.8,0
63,2018-01-01 15:45:00,0.8,0
64,2018-01-01 16:00:00,0.8,0
65,2018-01-01 16:15:00,0.8,0
66,2018-01-01 16:30:00,0.8,0
67,2018-01-01 16:45:00,0.8,0
68,2018-01-01 17:00:00,0.8,0
69,2018-01-01 17:15:00,0.8,0
70,2018-01-01 17:30:00,0.8,0
71,2018-01-01 17:45:00,0.8,0
72,2018-01-01 18:00:00,0.8,0
73,2018-01-01 18:15:00,0.8,0
74,2018-01-01 18:30:00,0.8,0
75,2018-01-01 18:45:00,0.8,0
76,2018-01-01 19:00:00,0.8,0
77,2018-01-01 19:15:00,0.8,0.5793780566327262
78,2018-01-01 19:30:00,0.8,0.6137530566327263
79,2018-01-01 19:45:00,0.8,0.6481280566327263
80,2018-01-01 20:00:00,0.8,0.6825030566327264
81,2018-01-01 20:15:00,0.8,0.7168780566327264
82,2018-01-01 20:30:00,0.8,0.7512530566327265
83,2018-01-01 20:45:00,0.8,0.7856280566327265
84,2018-01-01 21:00:00,0.8,0.8
85,2018-01-01 21:15:00,0.8,0.8
86,2018-01-01 21:30:00,0.8,0.8
87,2018-01-01 21:45:00,0.8,0.8
88,2018-01-01 22:00:00,0.8,0.8
89,2018-01-01 22:15:00,0.8,0.8
90,2018-01-01 22:30:00,0.8,0.8
91,2018-01-01 22:45:00,0.8,0.8
92,2018-01-01 23:00:00,0.8,0.8
93,2018-01-01 23:15:00,0.8,0.8
94,2018-01-01 23:30:00,0.8,0.8
95,2018-01-01 23:45:00,0.8,0.8
96,2018-01-02 00:00:00,0.8,0.8
97,2018-01-02 00:15:00,0.8,0.8
98,2018-01-02 00:30:00,0.8,0.8
99,2018-01-02 00:45:00,0.8,0.8
100,2018-01-02 01:00:00,0.8,0.8
101,2018-01-02 01:15:00,0.8,0.8
102,2018-01-02 01:30:00,0.8,0.8
103,2018-01-02 01:45:00,0.8,0.8
104,2018-01-02 02:00:00,0.8,0.8
105,2018-01-02 02:15:00,0.8,0.8
106,2018-01-02 02:30:00,0.8,0.8
107,2018-01-02 02:45:00,0.8,0.8
108,2018-01-02 03:00:00,0.8,0.8
109,2018-01-02 03:15:00,0.8,0.8
110,2018-01-02 03:30:00,0.8,0.8
111,2018-01-02 03:45:00,0.8,0.8
112,2018-01-02 04:00:00,0.8,0.8
113,2018-01-02 04:15:00,0.8,0.8
114,2018-01-02 04:30:00,0.8,0.8
115,2018-01-02 04:45:00,0.8,0.8
116,2018-01-02 05:00:00,0.8,0.8
117,2018-01-02 05:15:00,0.8,0.8
118,2018-01-02 05:30:00,0.8,0.8
119,2018-01-02 05:45:00,0.8,0.8
120,2018-01-02 06:00:00,0.8,0.8
121,2018-01-02 06:15:00,0.8,0.8
122,2018-01-02 06:30:00,0.8,0.8
123,2018-01-02 06:45:00,0.8,0.8
124,2018-01-02 07:00:00,0.8,0.8
125,2018-01-02 07:15:00,0.8,0.8
126,2018-01-02 07:30:00,0.8,0.8
127,2018-01-02 07:45:00,0.8,0.8
128,2018-01-02 08:00:00,0,0.8
129,2018-01-02 08:15:00,0,0.8
130,2018-01-02 08:30:00,0,0
131,2018-01-02 08:45:00,0,0
132,2018-01-02 09:00:00,0,0
133,2018-01-02 09:15:00,0,0
134,2018-01-02 09:30:00,0,0
135,2018-01-02 09:45:00,0,0
136,2018-01-02 10:00:00,0,0
137,2018-01-02 10:15:00,0,0
138,2018-01-02 10:30:00,0,0
139,2018-01-02 10:45:00,0,0
140,2018-01-02 11:00:00,0,0
141,2018-01-02 11:15:00,0,0
142,2018-01-02 11:30:00,0,0
143,2018-01-02 11:45:00,0,0
144,2018-01-02 12:00:00,0,0
145,2018-01-02 12:15:00,0,0
146,2018-01-02 12:30:00,0,0
147,2018-01-02 12:45:00,0,0
148,2018-01-02 13:00:00,0,0
149,2018-01-02 13:15:00,0,0
150,2018-01-02 13:30:00,0,0
151,2018-01-02 13:45:00,0,0
152,2018-01-02 14:00:00,0,0
153,2018-01-02 14:15:00,0,0
154,2018-01-02 14:30:00,0,0
155,2018-01-02 14:45:00,0,0
156,2018-01-02 15:00:00,0,0
157,2018-01-02 15:15:00,0,0
158,2018-01-02 15:30:00,0,0
159,2018-01-02 15:45:00,0,0
160,2018-01-02 16:00:00,0,0
161,2018-01-02 16:15:00,0.7578046835642009,0
162,2018-01-02 16:30:00,0.8,0
163,2018-01-02 16:45:00,0.8,0
164,2018-01-02 17:00:00,0.8,0.5291157658224872
165,2018-01-02 17:15:00,0.8,0.5634907658224872
166,2018-01-02 17:30:00,0.8,0.5978657658224873
167,2018-01-02 17:45:00,0.8,0.6322407658224873
168,2018-01-02 18:00:00,0.8,0.6666157658224874
169,2018-01-02 18:15:00,0.8,0.7009907658224874
170,2018-01-02 18:30:00,0.8,0.7353657658224875
