timestep,time,price [EUR/kWh],grid power [kW],ext.load [kW],feed-in [kW],battery power [kW],bat. stored energy [kWh],flex min [kW],flex base [kW],flex max [kW],sum CS power,# occupied CS,CS_golf_0,CS_sprinter_0
0,2018-01-01 00:00:00,0.3,-0.0,0,0,0.0,0.0,0,0,208.0,0,2,0,0
1,2018-01-01 00:15:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
2,2018-01-01 00:30:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
3,2018-01-01 00:45:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
4,2018-01-01 01:00:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
5,2018-01-01 01:15:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
6,2018-01-01 01:30:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
7,2018-01-01 01:45:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
8,2018-01-01 02:00:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
9,2018-01-01 02:15:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
10,2018-01-01 02:30:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
11,2018-01-01 02:45:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
12,2018-01-01 03:00:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
13,2018-01-01 03:15:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
14,2018-01-01 03:30:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
15,2018-01-01 03:45:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
16,2018-01-01 04:00:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
17,2018-01-01 04:15:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
18,2018-01-01 04:30:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
19,2018-01-01 04:45:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
20,2018-01-01 05:00:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
21,2018-01-01 05:15:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
22,2018-01-01 05:30:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
23,2018-01-01 05:45:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
24,2018-01-01 06:00:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
25,2018-01-01 06:15:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
26,2018-01-01 06:30:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
27,2018-01-01 06:45:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
28,2018-01-01 07:00:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
29,2018-01-01 07:15:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
30,2018-01-01 07:30:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
31,2018-01-01 07:45:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
32,2018-01-01 08:00:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,186.0,0,1,0,0
33,2018-01-01 08:15:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,186.0,0,1,0,0
34,2018-01-01 08:30:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,186.0,0,1,0,0
35,2018-01-01 08:45:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,186.0,0,1,0,0
36,2018-01-01 09:00:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
37,2018-01-01 09:15:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
38,2018-01-01 09:30:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
39,2018-01-01 09:45:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
