timestamp,Kategorie,Netzentgelt [EUR/kWh],Strompreis konstant [EUR/kWh],Strompreis Boerse [EUR/kWh],Gesamtpreis [EUR/kWh],Gesamtpreis Boerse [EUR/kWh]
2018-01-01 00:00:00+01:00,3,0.0349,0.1603,0.1036,0.1952,0.1385
2018-01-01 00:15:00+01:00,3,0.0349,0.1603,0.1036,0.1952,0.1385
2018-01-01 00:30:00+01:00,1,0.0237,0.1603,0.1036,0.184,0.1273
2018-01-01 00:45:00+01:00,1,0.0237,0.1603,0.1036,0.184,0.1273
2018-01-01 01:00:00+01:00,1,0.0237,0.1603,0.0789,0.184,0.1026
2018-01-01 01:15:00+01:00,1,0.0237,0.1603,0.0789,0.184,0.1026
2018-01-01 01:30:00+01:00,1,0.0237,0.1603,0.0789,0.184,0.1026
2018-01-01 01:45:00+01:00,1,0.0237,0.1603,0.0789,0.184,0.1026
2018-01-01 02:00:00+01:00,1,0.0237,0.1603,0.0522,0.184,0.0759
2018-01-01 02:15:00+01:00,1,0.0237,0.1603,0.0522,0.184,0.0759
2018-01-01 02:30:00+01:00,1,0.0237,0.1603,0.0522,0.184,0.0759
2018-01-01 02:45:00+01:00,1,0.0237,0.1603,0.0522,0.184,0.0759
2018-01-01 03:00:00+01:00,1,0.0237,0.1603,0.0457,0.184,0.0695
2018-01-01 03:15:00+01:00,1,0.0237,0.1603,0.0457,0.184,0.0695
2018-01-01 03:30:00+01:00,1,0.0237,0.1603,0.0457,0.184,0.0695
2018-01-01 03:45:00+01:00,1,0.0237,0.1603,0.0457,0.184,0.0695
2018-01-01 04:00:00+01:00,1,0.0237,0.1603,0.0442,0.184,0.068
2018-01-01 04:15:00+01:00,1,0.0237,0.1603,0.0442,0.184,0.068
2018-01-01 04:30:00+01:00,1,0.0237,0.1603,0.0442,0.184,0.068
2018-01-01 04:45:00+01:00,1,0.0237,0.1603,0.0442,0.184,0.068
2018-01-01 05:00:00+01:00,1,0.0237,0.1603,0.0419,0.184,0.0656
2018-01-01 05:15:00+01:00,1,0.0237,0.1603,0.0419,0.184,0.0656
2018-01-01 05:30:00+01:00,1,0.0237,0.1603,0.0419,0.184,0.0656
2018-01-01 05:45:00+01:00,1,0.0237,0.1603,0.0419,0.184,0.0656
2018-01-01 06:00:00+01:00,1,0.0237,0.1603,0.0363,0.184,0.0601
2018-01-01 06:15:00+01:00,1,0.0237,0.1603,0.0363,0.184,0.0601
2018-01-01 06:30:00+01:00,1,0.0237,0.1603,0.0363,0.184,0.0601
2018-01-01 06:45:00+01:00,1,0.0237,0.1603,0.0363,0.184,0.0601
2018-01-01 07:00:00+01:00,1,0.0237,0.1603,0.0328,0.184,0.0566
2018-01-01 07:15:00+01:00,1,0.0237,0.1603,0.0328,0.184,0.0566
2018-01-01 07:30:00+01:00,1,0.0237,0.1603,0.0328,0.184,0.0566
2018-01-01 07:45:00+01:00,1,0.0237,0.1603,0.0328,0.184,0.0566
2018-01-01 08:00:00+01:00,1,0.0237,0.1603,0.0374,0.184,0.0611
2018-01-01 08:15:00+01:00,1,0.0237,0.1603,0.0374,0.184,0.0611
2018-01-01 08:30:00+01:00,1,0.0237,0.1603,0.0374,0.184,0.0611
2018-01-01 08:45:00+01:00,1,0.0237,0.1603,0.0374,0.184,0.0611
2018-01-01 09:00:00+01:00,1,0.0237,0.1603,0.042,0.184,0.0657
2018-01-01 09:15:00+01:00,1,0.0237,0.1603,0.042,0.184,0.0657
2018-01-01 09:30:00+01:00,1,0.0237,0.1603,0.042,0.184,0.0657
2018-01-01 09:45:00+01:00,1,0.0237,0.1603,0.042,0.184,0.0657
2018-01-01 10:00:00+01:00,1,0.0237,0.1603,0.0469,0.184,0.0706
2018-01-01 10:15:00+01:00,1,0.0237,0.1603,0.0469,0.184,0.0706
2018-01-01 10:30:00+01:00,1,0.0237,0.1603,0.0469,0.184,0.0706
2018-01-01 10:45:00+01:00,1,0.0237,0.1603,0.0469,0.184,0.0706
2018-01-01 11:00:00+01:00,1,0.0237,0.1603,0.0528,0.184,0.0765
2018-01-01 11:15:00+01:00,1,0.0237,0.1603,0.0528,0.184,0.0765
2018-01-01 11:30:00+01:00,1,0.0237,0.1603,0.0528,0.184,0.0765
2018-01-01 11:45:00+01:00,1,0.0237,0.1603,0.0528,0.184,0.0765
2018-01-01 12:00:00+01:00,1,0.0237,0.1603,0.0589,0.184,0.0826
2018-01-01 12:15:00+01:00,1,0.0237,0.1603,0.0589,0.184,0.0826
2018-01-01 12:30:00+01:00,1,0.0237,0.1603,0.0589,0.184,0.0826
2018-01-01 12:45:00+01:00,1,0.0237,0.1603,0.0589,0.184,0.0826
2018-01-01 13:00:00+01:00,1,0.0237,0.1603,0.0846,0.184,0.1083
2018-01-01 13:15:00+01:00,1,0.0237,0.1603,0.0846,0.184,0.1083
2018-01-01 13:30:00+01:00,1,0.0237,0.1603,0.0846,0.184,0.1083
2018-01-01 13:45:00+01:00,1,0.0237,0.1603,0.0846,0.184,0.1083
2018-01-01 14:00:00+01:00,1,0.0237,0.1603,0.1033,0.184,0.127
2018-01-01 14:15:00+01:00,1,0.0237,0.1603,0.1033,0.184,0.127
2018-01-01 14:30:00+01:00,1,0.0237,0.1603,0.1033,0.184,0.127
2018-01-01 14:45:00+01:00,1,0.0237,0.1603,0.1033,0.184,0.127
2018-01-01 15:00:00+01:00,1,0.0237,0.1603,0.1091,0.184,0.1328
2018-01-01 15:15:00+01:00,1,0.0237,0.1603,0.1091,0.184,0.1328
2018-01-01 15:30:00+01:00,1,0.0237,0.1603,0.1091,0.184,0.1328
2018-01-01 15:45:00+01:00,1,0.0237,0.1603,0.1091,0.184,0.1328
2018-01-01 16:00:00+01:00,3,0.0349,0.1603,0.1199,0.1952,0.1548
2018-01-01 16:15:00+01:00,3,0.0349,0.1603,0.1199,0.1952,0.1548
2018-01-01 16:30:00+01:00,3,0.0349,0.1603,0.1199,0.1952,0.1548
2018-01-01 16:45:00+01:00,3,0.0349,0.1603,0.1199,0.1952,0.1548
2018-01-01 17:00:00+01:00,3,0.0237,0.1603,0.1324,0.184,0.1561
2018-01-01 17:15:00+01:00,1,0.0237,0.1603,0.1324,0.184,0.1561
2018-01-01 17:30:00+01:00,1,0.0237,0.1603,0.1324,0.184,0.1561
2018-01-01 17:45:00+01:00,1,0.0237,0.1603,0.1324,0.184,0.1561
2018-01-01 18:00:00+01:00,1,0.0237,0.1603,0.1318,0.184,0.1555
2018-01-01 18:15:00+01:00,1,0.0237,0.1603,0.1318,0.184,0.1555
2018-01-01 18:30:00+01:00,1,0.0237,0.1603,0.1318,0.184,0.1555
2018-01-01 18:45:00+01:00,1,0.0237,0.1603,0.1318,0.184,0.1555
2018-01-01 19:00:00+01:00,1,0.0237,0.1603,0.1299,0.184,0.1536
2018-01-01 19:15:00+01:00,1,0.0237,0.1603,0.1299,0.184,0.1536
2018-01-01 19:30:00+01:00,1,0.0237,0.1603,0.1299,0.184,0.1536
2018-01-01 19:45:00+01:00,1,0.0237,0.1603,0.1299,0.184,0.1536
2018-01-01 20:00:00+01:00,1,0.0237,0.1603,0.1299,0.184,0.1536
2018-01-01 20:15:00+01:00,1,0.0237,0.1603,0.1299,0.184,0.1536
2018-01-01 20:30:00+01:00,1,0.0237,0.1603,0.1299,0.184,0.1536
2018-01-01 20:45:00+01:00,1,0.0237,0.1603,0.1299,0.184,0.1536
2018-01-01 21:00:00+01:00,1,0.0237,0.1603,0.1308,0.184,0.1545
2018-01-01 21:15:00+01:00,3,0.0349,0.1603,0.1308,0.1952,0.1657
2018-01-01 21:30:00+01:00,3,0.0349,0.1603,0.1308,0.1952,0.1657
2018-01-01 21:45:00+01:00,3,0.0349,0.1603,0.1308,0.1952,0.1657
2018-01-01 22:00:00+01:00,3,0.0349,0.1603,0.1324,0.1952,0.1673
2018-01-01 22:15:00+01:00,3,0.0349,0.1603,0.1324,0.1952,0.1673
2018-01-01 22:30:00+01:00,3,0.0349,0.1603,0.1324,0.1952,0.1673
2018-01-01 22:45:00+01:00,3,0.0349,0.1603,0.1324,0.1952,0.1673
2018-01-01 23:00:00+01:00,3,0.0349,0.1603,0.1278,0.1952,0.1627
2018-01-01 23:15:00+01:00,3,0.0349,0.1603,0.1278,0.1952,0.1627
2018-01-01 23:30:00+01:00,3,0.0349,0.1603,0.1278,0.1952,0.1627
2018-01-01 23:45:00+01:00,3,0.0349,0.1603,0.1278,0.1952,0.1627
2018-01-02 00:00:00+01:00,3,0.0349,0.1603,0.127,0.1952,0.1619
2018-01-02 00:15:00+01:00,3,0.0237,0.1603,0.127,0.184,0.1507
2018-01-02 00:30:00+01:00,3,0.0349,0.1603,0.127,0.1952,0.1619
2018-01-02 00:45:00+01:00,3,0.0237,0.1603,0.127,0.184,0.1507
2018-01-02 01:00:00+01:00,3,0.0237,0.1603,0.1238,0.184,0.1476
2018-01-02 01:15:00+01:00,3,0.0237,0.1603,0.1238,0.184,0.1476
2018-01-02 01:30:00+01:00,3,0.0237,0.1603,0.1238,0.184,0.1476
2018-01-02 01:45:00+01:00,3,0.0349,0.1603,0.1238,0.1952,0.1588
