datetime,capacity
2023-01-01T00:00+02:00,41.6
2023-01-01T06:00+02:00,29.3
2023-01-01T12:00+02:00,47.5
2023-01-01T18:00+02:00,30.1
2023-01-02T00:00+02:00,52.0
2023-01-02T06:00+02:00,49.5
2023-01-02T12:00+02:00,50.3
2023-01-02T18:00+02:00,86.0
2023-01-03T00:00+02:00,46.5
2023-01-03T06:00+02:00,29.9
2023-01-03T12:00+02:00,35.2
2023-01-03T18:00+02:00,51.8
2023-01-04T00:00+02:00,38.0
2023-01-04T06:00+02:00,38.7
2023-01-04T12:00+02:00,45.2
2023-01-04T18:00+02:00,56.3
2023-01-05T00:00+02:00,41.5
2023-01-05T06:00+02:00,61.7
2023-01-05T12:00+02:00,22.0
2023-01-05T18:00+02:00,25.2
2023-01-06T00:00+02:00,36.6
2023-01-06T06:00+02:00,05.3
2023-01-06T12:00+02:00,55.9
2023-01-06T18:00+02:00,31.2
2023-01-07T00:00+02:00,47.9
2023-01-07T06:00+02:00,21.6
2023-01-07T12:00+02:00,28.3
2023-01-07T18:00+02:00,54.2
